"name","address1","city","state","postal","latitude","longitude"
"KO Storage of Corpus Christi - Leopard St","10224 Leopard St","Corpus Christi","TX","78410",27.836196,-97.56813199999999
"KO Storage of Aberdeen","38422 Hwy 12","Aberdeen","SD","57401",45.4536907,-98.552354
"KO Storage of Watertown - Water St","632 Water St","Watertown","NY","13601",43.9782483,-75.8909086
"KO Storage of Jones","12909 E Britton Rd","Jones","OK","73049",35.5663526,-97.30152
"KO Storage of Bethany","7133 NW 23rd Street","Bethany","OK","73008",35.493791,-97.6384309
"KO Storage of Weatherford","1712 Fort Worth Hwy","Weatherford","TX","76086",32.75637740000001,-97.7588067
"KO Storage of San Angelo - Green Meadow Dr","3435 Green Meadow Dr","San Angelo","TX","76904",31.4215718,-100.4940887
"KO Storage of Minot - 46th Ave NE","8 46th Ave NE","Minot","ND","58703",48.2828623,-101.2910564
"KO Storage of Springfield - Scenic Ave","3120 S Scenic Ave","Springfield","MO","65807",37.1579068,-93.3317496
"KO Storage of Berkeley Springs - Valley Road South","10925 Valley Road","Berkeley Springs","WV","25411",39.4801071,-78.3021001
"KO Storage of Weatherford - West Park","113 West Park Ave","Weatherford","TX","76086",32.7419823,-97.7987724
"KO Storage of Louisville - Crums Ln","1510 Crums Lane","Louisville","KY","40216",38.1884479,-85.80326769999999
"KO Storage of Juneau","N6987 WI Hwy 26","Juneau","WI","53039",43.44769680000001,-88.6983313
"KO Storage of Eagle Pass - Del Rio Blvd","3618 Del Rio Blvd","Eagle Pass","TX","78852",28.7667403,-100.4942506
"KO Storage of Rolla - US Hwy 63","12773 US Highway 63","Rolla","MO","65401",37.9112531,-91.77643839999999
"KO Storage of Weatherford - Santa Fe","1319 Santa Fe Dr","Weatherford","TX","76086",32.7431842,-97.7815732
"KO Storage of Baxter","6897 Foley Rd South","Baxter","MN","56425",46.3496668,-94.25695379999999
"KO Storage of Hampton","74 Oak Street","Hampton","GA","30228",33.3910988,-84.2951673
"KO Storage of Naples","17 Serenity Hills Estates","Naples","ME","04055",43.9836361,-70.6364172
"KO Storage of Midland - W Industrial Ave","3013 W Industrial Ave","Midland","TX","79701",31.9800967,-102.1035451
"KO Storage of Minot - Main St N","3425 Main Street North","Minot","ND","58703",48.2738936,-101.2933138
"KO Storage of Keystone Heights","7350 FL-100","Keystone Heights","FL","32656",29.7925371,-82.0434592
"KO Storage of Powell - Andersonville","8803 Andersonville Pike","Powell","TN","37849",36.1088313,-83.9746381
"KO Storage of Naples - US-67","304 US 67","Naples","TX","75568",33.1991203,-94.685833
"KO Storage of Nixa - Hwy CC","1710 North State Highway CC","Nixa","MO","65714",37.07717860000001,-93.2932829
"KO Storage of Owatonna - DU","1175 E Frontage Rd","Owatonna","MN","55060",44.09527569999999,-93.23906170000001
"KO Storage of Chattanooga","4494 Pinnacle Ln","Chattanooga","TN","37415",35.1079508,-85.2353313
"KO Storage of Keystone Heights - Annex","1029 FL-100","Keystone Heights","FL","32656",29.8034225,-82.0590428
"KO Storage of Harrison - Goblin Dr","1414 Goblin Drive","Harrison","AR","72601",36.24854590000001,-93.1351132
"KO Storage of Jamestown - North","1618 US-281 North","Jamestown","ND","58401",46.9245877,-98.7230605
"KO Storage of Franklin - E 2nd St","529 East 2nd Street","Franklin","OH","45005",39.5630505,-84.29414960000001
"KO Storage of Stoughton","1995 Barber Drive","Stoughton","WI","53589",42.9550671,-89.2806812
"KO Storage of Wichita Falls","1602 TX-11 Loop","Wichita Falls","TX","76306",33.9389814,-98.5334809
"KO Storage of Harlingen","2426 East Tyler Ave","Harlingen","TX","78550",26.1891125,-97.6703682
"KO Storage of Odessa - W 10th St","3610 W 10th St","Odessa","TX","79763",31.8397901,-102.4094702
"KO Storage of Superior - Oakes","1103 Oakes Ave","Superior","WI","54880",46.7249869,-92.1077281
"KO Storage of Monticello - Jackson Lake Rd","4451 Jackson Lake Rd","Monticello","GA","31064",33.3773825,-83.8193956
"KO Storage of Berkeley Springs - Valley Road North","5402 Valley Road","Berkeley Springs","WV","25411",39.5557182,-78.2685043
"KO Storage of Tipp City","4395 Lisa Dr","Tipp City","OH","45371",39.8886555,-84.1377421
"KO Storage of Clinton - Hinckley Rd","26B Hinckley Rd","Clinton","ME","04927",44.6365944,-69.5113267
"KO Storage of Auburn","23 Goldthwaite Rd","Auburn","ME","04210",44.0702217,-70.264207
"KO Storage of Baton Rouge","4136 Florida Blvd","Baton Rouge","LA","70806",30.45009739999999,-91.1472224
"KO Storage of Harrah - 23rd St","20131 NE 23rd St","Harrah","OK","73045",35.4938392,-97.1744171
"KO Storage of Berkeley Springs - Kimber Court","52 Kimber Court","Berkeley Springs","WV","25411",39.6344349,-78.236801
"KO Storage of Brainerd","15237 Edgewood Dr.","Brainerd","MN","56425",46.3727499,-94.2480702
"KO Storage of Billings - White Rock","110 White Rock Rd","Billings","MO","65610",37.0957491,-93.5114325
"KO Storage of San Benito","1775 US-77","San Benito","TX","78586",26.154069,-97.6519076
"KO Storage of Dixon - Hwy 28","20180 Highway 28","Dixon","MO","65459",37.8651933,-92.08191350000001
"KO Storage of Mt Pleasant - 16th St","505 East 16th St","Mount Pleasant","TX","75455",33.172854,-94.9607605
"KO Storage of Superior - Elmira / N 58th","2030 Elmira Ave","Superior","WI","54880",46.7138119,-92.114338
"KO Storage of Texas - Omaha","10881 US 259","Omaha","TX","75571",33.17858540000001,-94.7314941
"KO Storage of Granbury - 2200 Fall Creek Hwy","2200 Fall Creek Highway","Granbury","TX","76049",32.4585387,-97.6909666
"KO Storage of Valley City","2535 W Main St","Valley City","ND","58072",46.91319070000002,-98.0379522
"KO Storage of Granbury","6101 Fall Creek Hwy","Granbury","TX","76049",32.4123359,-97.6688275
"KO Storage of Mt Pleasant - Patrick St","210 Patrick Street","Mount Pleasant","TX","75455",33.1371923,-94.9705843
"KO Storage of Jamestown - South","830 18th Street SW","Jamestown","ND","58401",46.8907428,-98.72079
"KO Storage of Wichita Falls - North","2461 Reilly Rd","Wichita Falls","TX","76306",33.9803178,-98.5358834
"KO Storage of Superior - 2343 Elmira Ave","2343 Elmira Ave","Superior","WI","54880",46.70959120000001,-92.11535750000002
"KO Storage of Watertown - Hwy 283","24452 NY-283","Watertown","NY","13601",43.9858758,-75.8820791
"KO Storage of Sanford","23 Smada Dr","Sanford","ME","04073",43.3988182,-70.6976718
"KO Storage of Granger","52336 Ash Rd","Granger","IN","46530",41.7337956,-86.0597909
"KO Storage of Niceville - Government Ave","216 Government Avenue","Niceville","FL","32578",30.5180499,-86.5046685
"KO Storage of Fort Drum","26026 US-11","Evans Mills","NY","13637",44.0437191,-75.8371856
"KO Storage of Sedalia - Stone Creek Dr","1521 Stone Creek Drive","Sedalia","MO","65301",38.7004644,-93.2697183
"KO Storage of San Angelo - Ben Ficklin Rd","3901 Ben Ficklin Rd","San Angelo","TX","76903",31.4219823,-100.4426414
"KO Storage of Talco","310 N 1st St","Talco","TX","75487",33.3653189,-95.1090291
"KO Storage of Willmar","1706 East Hwy 12","Willmar","MN","56201",45.1237595,-95.019358
"KO Storage of Mississippi - Gorenflo Rd","10539 Gorenflo Rd","Diberville","MS","39540",30.4398126,-88.8877887
"KO Storage of Sedalia - Greenridge Rd","3505 Greenridge Rd","Sedalia","MO","65301",38.680711,-93.2550625
"KO Storage of Tomah - Superior Ave","1355 N Superior Ave","Tomah","WI","54660",44.00742,-90.5041861
"KO Storage of Owatonna - CC","1210 East Frontage Rd","Owatonna","MN","55060",44.095584,-93.241678
"KO Storage of Murfreesboro - Veterans Parkway","149 Veterans Pkwy","Murfreesboro","TN","37128",35.7859287,-86.4037408
"KO Storage of Addis","3648 Belle Vale Dr","Addis","LA","70710",30.3719088,-91.2558334
"KO Storage of Gainesville","2326 Browns Bridge Rd","Gainesville","GA","30504",34.2771544,-83.85687
"KO Storage of Harrison - 1901 Airport Rd","1901 Airport Road","Harrison","AR","72601",36.2526292,-93.1521635
"KO Storage of Tulsa - East Virgin St","6565 East Virgin St","Tulsa","OK","74115",36.1846505,-95.90355679999999
"KO Storage of Cleburne","791 E. Katherine P Rains Rd","Cleburne","TX","76031",32.3793931,-97.38075889999999
"KO Storage of Mississippi - Lemoyne Blvd","10370 Lemoyne Blvd","Diberville","MS","39540",30.4362592,-88.8893339
"KO Storage of Black River Falls","816 Alder St","Black River Falls","WI","54615",44.3079759,-90.8496062
"KO Storage of Tomah - Washington St","202 E Washington St","Tomah","WI","54660",43.9851205,-90.50280459999999
"KO Storage of Amery","487 Wisconsin 46","Amery","WI","54001",45.2796883,-92.36957199999999
"KO Storage of Louisville - Turnpike","8204 National Turnpike","Louisville","KY","40214",38.1307517,-85.75118289999999
"KO Storage of Pittsburg","2625 US Hwy 271 N","Pittsburg","TX","75686",33.0306193,-94.9622329
"KO Storage of Portage - North","N8323 County Rd CX","Portage","WI","53901",43.5820245,-89.4685681
"KO Storage of Bemidji","500 Sunnyside Rd SE","Bemidji","MN","56601",47.4611546,-94.7777098
"KO Storage of Harrah","2504 S Harrah Rd","Harrah","OK","73045",35.4396974,-97.1579833
"KO Storage of Chattanooga - Hwy 58","4819 TN-58","Chattanooga","TN","37416",35.0919097,-85.1858218
"KO Storage of Del City","4321 Southeast 33rd Street","Del City","OK","73115",35.4322184,-97.4399524
"KO Storage of Cass County","1768 Alfalfa Trail SW","Pillager","MN","56473",46.33825600000001,-94.3730889
"KO Storage of Tomah - Townline Rd","1655 Townline Rd","Tomah","WI","54660",43.9860809,-90.47808049999999
"KO Storage of Oxford","872 Main St","Oxford","ME","04270",44.154455,-70.4892874
"KO Storage of Richmond - Main St","728 Main Street","Richmond","ME","04357",44.097052,-69.8676889
"KO Storage of San Angelo - Chadbourne St","2510 N Chadbourne St","San Angelo","TX","76903",31.4863464,-100.4518396
"KO Storage of Gilmer - TX-300","1262 TX-300","Gilmer","TX","75645",32.7138378,-94.9328006
"KO Storage of Azle","1250 Sandy Beach Road","Azle","TX","76020",32.9276992,-97.5236556
"KO Storage of Sedalia - 1526 W Main St","1526 W Main St","Sedalia","MO","65301",38.7138596,-93.2454564
"KO Storage of Knapp","607 US-12","Knapp","WI","54749",44.95365940000001,-92.08809120000001
"KO Storage of Starke","1650 South Walnut Street","Starke","FL","32091",29.929923,-82.119854
"KO Storage of Wichita - E Pawnee St","4545 E Pawnee St","Wichita","KS","67218",37.6491192,-97.2840645
"KO Storage of Springfield - Golden Ave","3108 S Golden Ave","Springfield","MO","65807",37.1585829,-93.3412065
"KO Storage of Mt Vernon","699 Interstate 30 Service Road","Mount Vernon","TX","75457",33.1615958,-95.2425544
"KO Storage of Ozark","601 E South St","Ozark","MO","65721",37.0053056,-93.2017414
"KO Storage of Noble","8500 US-77","Noble","OK","73068",35.1147714,-97.3788589
"KO Storage of Minot - South","1908 Hiawatha St SE","Minot","ND","58701",48.21263460000002,-101.2810833
"KO Storage of Portage - Hwy 33","W7450 Hwy 33","Portage","WI","53901",43.5562247,-89.3731378
"KO Storage of Sedalia - State Hwy B","23650 State Hwy B","Sedalia","MO","65301",38.677866,-93.2556731
"KO Storage of Portage - East","740 E Albert St","Portage","WI","53901",43.5485274,-89.45069099999999
"KO Storage of Patterson","213 Tiffany St","Patterson","LA","70392",29.6827929,-91.3046992
"KO Storage of Minot","3500 N Broadway","Minot","ND","58703",48.2748169,-101.2947921
"KO Storage of Mt Pleasant - FM127","7085 Farm to Market Road 127","Mount Pleasant","TX","75455",33.094953,-95.0863223
"KO Storage of Centerton","1601 W Centerton Blvd","Centerton","AR","72719",36.35850370000001,-94.308283
"KO Storage of Springfield - Farm Rd","3909 E Farm Road 94","Springfield","MO","65803",37.27331700000001,-93.21163299999999
"KO Storage of Murfreesboro - Church St","2704 South Church Street","Murfreesboro","TN","37127",35.7966492,-86.39959859999999
"KO Storage of Del Rio","3695 Veterans Blvd","Del Rio","TX","78840",29.40732359999999,-100.9040417
"KO Storage of Minot - North","4815 N Broadway","Minot","ND","58703",48.2856412,-101.2973946
"KO Storage of Cheyenne - Prosser Rd","207 E Prosser Rd","Cheyenne","WY","82007",41.1057751,-104.7988849
"KO Storage of Nixa - 40th St","1091 N 40th St","Nixa","MO","65714",37.0353564,-93.2577929
"KO Storage of Pleasanton","1254 West Oaklawn Rd","Pleasanton","TX","78064",28.9508845,-98.4991464
"KO Storage of Franklin - N Main St","1073 North Main Street","Franklin","OH","45005",39.5788121,-84.2943257
"KO Storage of Superior","2634 Elmira Ave","Superior","WI","54880",46.7066779,-92.114332
"KO Storage of Nixa - Kathryn St","703 Kathryn Street","Nixa","MO","65714",37.0603605,-93.3108999
"KO Storage of Port Allen","2583 Court St","Port Allen","LA","70767",30.4505117,-91.2377298
"KO Storage of Somersworth","108 Tri City Rd.","Somersworth","NH","03878",43.2283259,-70.8815601
"KO Storage of Mauston","W 5285 WI-82","Mauston","WI","53948",43.79542940000001,-90.0344608
"KO Storage of Pittsfield - Main St","472 Main Street","Pittsfield","ME","04967",44.77434119999999,-69.392972
"KO Storage of Portage - Thompson","1111 Thompson St","Portage","WI","53901",43.53511810000001,-89.442858
"KO Storage of Rush City - South","1310 South Bremer Ave","Rush City","MN","55069",45.6751348,-92.9604859
"KO Storage of Harrison - 1700 Airport Rd","1700 Airport Road","Harrison","AR","72601",36.2488853,-93.1544765
"KO Storage of Weatherford - Eureka","911 Eureka St","Weatherford","TX","76086",32.74951200000001,-97.781566
"KO Storage of Nisswa","4745 Co Rd 77","Nisswa","MN","56468",46.4987913,-94.3031207
"KO Storage of Wichita - S Hydraulic Ave","122 South Hydraulic Avenue","Wichita","KS","67211",37.6854244,-97.3168943
"KO Storage of Odessa - W University Blvd","9341 W University Blvd","Odessa","TX","79764",31.8440206,-102.4848805
"KO Storage of Detroit Lakes - US-59","18550 US-59","Detroit Lakes","MN","56501",46.84078479999999,-95.86194239999999
"KO Storage of Chattanooga - Crawford St","1415 Crawford Street","Chattanooga","TN","37421",35.0259126,-85.1901534
